seed,group,feature,group_avg_importance,global_importance,global_vs_group_gap,conditional_minus_global
3233,group_a,exog_feature_1,0.03519969807179961,0.013926980147461923,-0.021272717924337686,0.021272717924337686
3233,group_b,exog_feature_1,-3.5713851547504096e-05,0.013926981407181158,0.013962695258728662,-0.013962695258728662
3435,group_a,exog_feature_1,0.28117066844558875,0.12044487686586908,-0.16072579157971967,0.16072579157971967
3435,group_b,exog_feature_1,0.0007516604834556737,0.12044487695310072,0.11969321646964504,-0.11969321646964504
3637,group_a,exog_feature_1,0.40023150432842153,0.19418333108103356,-0.20604817324738797,0.20604817324738797
3637,group_b,exog_feature_1,0.03929652532308619,0.19418333542308042,0.15488681009999422,-0.15488681009999422
3839,group_a,exog_feature_1,0.20030874437713697,0.07998478098870039,-0.12032396338843658,0.12032396338843658
3839,group_b,exog_feature_1,1.7155916356423505e-05,0.07998478091235102,0.0799676249959946,-0.0799676249959946
4041,group_a,exog_feature_1,0.1901681121722419,0.08098409780253352,-0.10918401436970837,0.10918401436970837
4041,group_b,exog_feature_1,0.0012004876859403448,0.08098409765828521,0.07978360997234486,-0.07978360997234486
42,group_a,exog_feature_2,0.0012710708329580114,0.31313896698575544,0.3118678961527974,-0.3118678961527974
42,group_b,exog_feature_2,0.6346371460776962,0.31313896141903075,-0.3214981846586654,0.3214981846586654
123,group_a,exog_feature_2,0.0011773724927082185,0.09993962081518507,0.09876224832247685,-0.09876224832247685
123,group_b,exog_feature_2,0.19929224169962145,0.09993961916571625,-0.0993526225339052,0.0993526225339052
456,group_a,exog_feature_2,0.0026587489381777805,0.34370756223071397,0.34104881329253617,-0.34104881329253617
456,group_b,exog_feature_2,0.6846795325593549,0.34370756146879644,-0.34097197109055843,0.34097197109055843
789,group_a,exog_feature_2,0.005743736687913787,0.3445425787538717,0.3387988420659579,-0.3387988420659579
789,group_b,exog_feature_2,0.6856835341345376,0.3445425764111954,-0.34114095772334224,0.34114095772334224
1011,group_a,exog_feature_2,0.013521710723552282,0.3618050164496594,0.3482833057261071,-0.3482833057261071
1011,group_b,exog_feature_2,0.721794371635406,0.3618050120794585,-0.3599893595559476,0.3599893595559476
1213,group_a,exog_feature_2,0.013294249194684308,0.3472515052957941,0.3339572561011098,-0.3339572561011098
1213,group_b,exog_feature_2,0.6772094591411514,0.34725150430365265,-0.32995795483749873,0.32995795483749873
1415,group_a,exog_feature_2,-0.0003827929515667314,0.11851872527149142,0.11890151822305815,-0.11890151822305815
1415,group_b,exog_feature_2,0.23469087593099716,0.11851872520273532,-0.11617215072826184,0.11617215072826184
1617,group_a,exog_feature_2,0.006922162785233328,0.3289984398183535,0.3220762770331202,-0.3220762770331202
1617,group_b,exog_feature_2,0.6523286754386642,0.32899843306836213,-0.3233302423703021,0.3233302423703021
1819,group_a,exog_feature_2,0.007705105291315836,0.3296360234119668,0.32193091812065094,-0.32193091812065094
1819,group_b,exog_feature_2,0.663633443183095,0.32963601873131054,-0.3339974244517845,0.3339974244517845
2021,group_a,exog_feature_2,0.003323397847157668,0.22957089325158447,0.22624749540442682,-0.22624749540442682
2021,group_b,exog_feature_2,0.4528103324193028,0.22957089389993077,-0.22323943851937203,0.22323943851937203
2223,group_a,exog_feature_2,0.0013140484242333537,0.32098440555471236,0.31967035713047903,-0.31967035713047903
2223,group_b,exog_feature_2,0.6520660101366718,0.3209844041350592,-0.33108160600161257,0.33108160600161257
2425,group_a,exog_feature_2,0.0018150095437823102,0.3503256457372156,0.34851063619343325,-0.34851063619343325
2425,group_b,exog_feature_2,0.6954353109803801,0.35032564010254885,-0.3451096708778313,0.3451096708778313
2627,group_a,exog_feature_2,0.0030543941936144424,0.2470927823523051,0.24403838815869067,-0.24403838815869067
2627,group_b,exog_feature_2,0.49447943317409815,0.24709277920261397,-0.24738665397148418,0.24738665397148418
2829,group_a,exog_feature_2,0.0007131091464734217,0.09319006915599483,0.09247696000952141,-0.09247696000952141
2829,group_b,exog_feature_2,0.18431057782436325,0.09319007211839758,-0.09112050570596567,0.09112050570596567
3031,group_a,exog_feature_2,0.01718730429697509,0.3579803692810941,0.34079306498411904,-0.34079306498411904
3031,group_b,exog_feature_2,0.6987442398816717,0.35798036520692583,-0.34076387467474584,0.34076387467474584
3233,group_a,exog_feature_2,-0.00021291453821580127,0.10687647238517962,0.10708938692339542,-0.10708938692339542
3233,group_b,exog_feature_2,0.21185080450616098,0.10687646843651885,-0.10497433606964213,0.10497433606964213
3435,group_a,exog_feature_2,0.0017609830406569397,0.2800268031910766,0.2782658201504197,-0.2782658201504197
3435,group_b,exog_feature_2,0.5523146305626814,0.28002679939858066,-0.2722878311641007,0.2722878311641007
3637,group_a,exog_feature_2,0.011925310200051746,0.3470807095653362,0.3351553993652845,-0.3351553993652845
3637,group_b,exog_feature_2,0.6860349698060052,0.3470807063042406,-0.3389542635017646,0.3389542635017646
3839,group_a,exog_feature_2,0.001533805817795212,0.23347534885139024,0.23194154303359502,-0.23194154303359502
3839,group_b,exog_feature_2,0.4659996141640982,0.2334753480334891,-0.2325242661306091,0.2325242661306091
4041,group_a,exog_feature_2,0.005561203869971749,0.2723792852189744,0.26681808134900264,-0.26681808134900264
4041,group_b,exog_feature_2,0.5397198577627403,0.27237928540706685,-0.2673405723556735,0.2673405723556735
42,group_a,exog_feature_3,0.40739847688353054,0.4008230715543005,-0.006575405329230016,0.006575405329230016
42,group_b,exog_feature_3,0.39920088390657693,0.40082307138634565,0.0016221874797687447,-0.0016221874797687447
123,group_a,exog_feature_3,0.24596733014198383,0.2529498139945357,0.006982483852551894,-0.006982483852551894
123,group_b,exog_feature_3,0.25594909382298486,0.25294981201413064,-0.002999281808854232,0.002999281808854232
456,group_a,exog_feature_3,0.4083081000138995,0.3961689857513721,-0.012139114262527374,0.012139114262527374
456,group_b,exog_feature_3,0.38831286974488866,0.3961689825275466,0.00785611278265799,-0.00785611278265799
789,group_a,exog_feature_3,0.4078793135975403,0.4090919825351275,0.0012126689375872007,-0.0012126689375872007
789,group_b,exog_feature_3,0.42118594404006465,0.40909198443140943,-0.012093959608655221,0.012093959608655221
1011,group_a,exog_feature_3,0.4316177836401269,0.423926206601579,-0.00769157703854789,0.00769157703854789
1011,group_b,exog_feature_3,0.4137554560522582,0.42392620669197645,0.010170750639718217,-0.010170750639718217
1213,group_a,exog_feature_3,0.4302284638070868,0.42598039914666885,-0.0042480646604179505,0.0042480646604179505
1213,group_b,exog_feature_3,0.4206973753176109,0.4259804003393708,0.005283025021759882,-0.005283025021759882
1415,group_a,exog_feature_3,0.2649077293815998,0.27244400351122017,0.0075362741296203985,-0.0075362741296203985
1415,group_b,exog_feature_3,0.2805002247112465,0.272444005859293,-0.00805621885195352,0.00805621885195352
1617,group_a,exog_feature_3,0.40018679581528477,0.39849652077407016,-0.0016902750412146148,0.0016902750412146148
1617,group_b,exog_feature_3,0.4014013705851025,0.3984965220019647,-0.0029048485831377935,0.0029048485831377935
1819,group_a,exog_feature_3,0.4116867507822486,0.41571321922401744,0.004026468441768869,-0.004026468441768869
1819,group_b,exog_feature_3,0.4233499419938101,0.41571321837756653,-0.0076367236162435586,0.0076367236162435586
2021,group_a,exog_feature_3,0.28606501027943404,0.2794266998743763,-0.0066383104050577665,0.0066383104050577665
