levels,lags,params,mean_squared_error__weighted_average,mean_squared_error__average,mean_squared_error__pooling,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_alpha,reg_lambda
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 475, 'learning_rate': 0.026109152806102248, 'num_leaves': 27, 'max_depth': 7, 'min_child_samples': 28, 'reg_alpha': 1.515814004900197e-07, 'reg_lambda': 0.010604528623080948}",130.15282473937143,130.15282473937145,130.15282473937143,475.0,0.026109152806102248,27.0,7.0,28.0,1.515814004900197e-07,0.010604528623080948
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 428, 'learning_rate': 0.11189797286754422, 'num_leaves': 15, 'max_depth': 8, 'min_child_samples': 42, 'reg_alpha': 1.5293394038376347, 'reg_lambda': 0.00025011722069085356}",130.38257242698344,130.38257242698344,130.38257242698344,428.0,0.11189797286754422,15.0,8.0,42.0,1.5293394038376347,0.00025011722069085356
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 448, 'learning_rate': 0.09345475111995186, 'num_leaves': 20, 'max_depth': 8, 'min_child_samples': 16, 'reg_alpha': 0.8417311356239889, 'reg_lambda': 2.0825863777768412e-06}",130.43471904239289,130.43471904239286,130.43471904239289,448.0,0.09345475111995186,20.0,8.0,16.0,0.8417311356239889,2.0825863777768412e-06
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 351, 'learning_rate': 0.026447997248872795, 'num_leaves': 37, 'max_depth': 6, 'min_child_samples': 12, 'reg_alpha': 0.07589184844639373, 'reg_lambda': 2.025501612823884e-08}",130.6762599674277,130.6762599674277,130.6762599674277,351.0,0.026447997248872795,37.0,6.0,12.0,0.07589184844639373,2.025501612823884e-08
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 448, 'learning_rate': 0.08849454828684707, 'num_leaves': 19, 'max_depth': 6, 'min_child_samples': 41, 'reg_alpha': 0.08946500067392714, 'reg_lambda': 2.7923705935948315e-06}",130.7676610370145,130.76766103701453,130.7676610370145,448.0,0.08849454828684707,19.0,6.0,41.0,0.08946500067392714,2.7923705935948315e-06
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 412, 'learning_rate': 0.09281213948929135, 'num_leaves': 15, 'max_depth': 12, 'min_child_samples': 30, 'reg_alpha': 0.8364749950243516, 'reg_lambda': 0.0023305041590271033}",130.96008657778074,130.96008657778071,130.96008657778071,412.0,0.09281213948929135,15.0,12.0,30.0,0.8364749950243516,0.0023305041590271033
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 468, 'learning_rate': 0.07436068593161281, 'num_leaves': 17, 'max_depth': 11, 'min_child_samples': 28, 'reg_alpha': 1.5270818024279582, 'reg_lambda': 0.0006535979460357013}",130.97289071364906,130.97289071364906,130.97289071364906,468.0,0.07436068593161281,17.0,11.0,28.0,1.5270818024279582,0.0006535979460357013
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 431, 'learning_rate': 0.10532570465242354, 'num_leaves': 19, 'max_depth': 8, 'min_child_samples': 44, 'reg_alpha': 0.1408271569837684, 'reg_lambda': 0.00015035648638557026}",131.053412103297,131.053412103297,131.05341210329703,431.0,0.10532570465242354,19.0,8.0,44.0,0.1408271569837684,0.00015035648638557026
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 471, 'learning_rate': 0.08570726184853487, 'num_leaves': 15, 'max_depth': 9, 'min_child_samples': 29, 'reg_alpha': 2.798336046321693, 'reg_lambda': 3.094236205061301e-05}",131.0779586814335,131.07795868143353,131.0779586814335,471.0,0.08570726184853487,15.0,9.0,29.0,2.798336046321693,3.094236205061301e-05
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 446, 'learning_rate': 0.07275373549191273, 'num_leaves': 15, 'max_depth': 8, 'min_child_samples': 17, 'reg_alpha': 0.3809063856499238, 'reg_lambda': 6.252099522050892e-07}",131.19974624998534,131.19974624998537,131.19974624998534,446.0,0.07275373549191273,15.0,8.0,17.0,0.3809063856499238,6.252099522050892e-07
